State,year,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,LSAD,ALAND,AWATER,variable,light_gini,top_10_sh,Gini,Top10_adj,Top5_adj,Top1_adj,top_5_sh,top_1_sh
Indiana,2005,18,00448508,0400000US18,18,IN,00,92789302676,1538002829,lpp_2005,0.531328728705799,41.2415591204546,0.578391194,40.03656006,29.1061039,15.52481079,29.2812573076796,12.9314780266517
Indiana,2010,18,00448508,0400000US18,18,IN,00,92789302676,1538002829,lpp_2010,0.513606888958531,38.2185707189259,0.567936897,42.5286026,28.94347,14.10284233,25.868365833138,9.95985383079633
Iowa,1990,19,01779785,0400000US19,19,IA,00,144661267977,1084180812,lpp_1990,0.34315142287323,25.336468902947,0.55833596,34.21392059,22.30318642,10.0972538,15.7395991095306,4.75845989607739
Iowa,1995,19,01779785,0400000US19,19,IA,00,144661267977,1084180812,lpp_1995,0.355155161301609,27.6256172328593,0.533415079,35.23470306,24.37590981,10.47624588,17.5588984309366,5.48699136950663
Iowa,2000,19,01779785,0400000US19,19,IA,00,144661267977,1084180812,lpp_2000,0.392528017870422,29.6636984321205,0.533636272,35.58063507,25.40779305,12.59195232,19.6500369266604,6.98996242862815
Iowa,2005,19,01779785,0400000US19,19,IA,00,144661267977,1084180812,lpp_2005,0.408720415343231,31.1256463443854,0.560311615,35.67908859,25.72753143,12.9193964,21.0959539315461,8.02369587546867
Iowa,2010,19,01779785,0400000US19,19,IA,00,144661267977,1084180812,lpp_2010,0.385710174852893,28.5914867732277,0.549246907,37.46680832,25.30312538,12.09999561,18.5509013470179,6.24231189470092
Kansas,1990,20,00481813,0400000US20,20,KS,00,211755344060,1344141205,lpp_1990,0.657999002816117,52.0457909233115,0.554324448,36.20653915,25.06900215,11.92993355,35.1863460592784,11.7056515734434
Kansas,1995,20,00481813,0400000US20,20,KS,00,211755344060,1344141205,lpp_1995,0.6153084081975,47.5451739121599,0.553249061,38.22123337,26.86796761,12.66955376,32.2010254998311,11.2738090011037
Kansas,2000,20,00481813,0400000US20,20,KS,00,211755344060,1344141205,lpp_2000,0.532402527897872,40.196729324015,0.565957487,39.0610199,28.51630974,14.80104637,28.1939472875118,10.6074011860956
Kansas,2005,20,00481813,0400000US20,20,KS,00,211755344060,1344141205,lpp_2005,0.558401602814523,42.2550359356113,0.592104435,40.13876343,29.55270576,16.08764648,30.032285731564,11.5859726774312
Kansas,2010,20,00481813,0400000US20,20,KS,00,211755344060,1344141205,lpp_2010,0.527567585234018,38.7077797788167,0.59138608,42.72958374,30.75813484,16.40237045,26.695226274875,9.64659413146348
Kentucky,1990,21,01779786,0400000US21,21,KY,00,102279490672,2375337755,lpp_1990,0.351503659020356,27.5703110187015,0.561283648,39.64501572,25.96712875,12.38546276,17.4770032598382,5.52767667344945
Kentucky,1995,21,01779786,0400000US21,21,KY,00,102279490672,2375337755,lpp_1995,0.339026369443433,27.2740794790277,0.552615821,40.31607056,28.35523415,12.63712311,17.4079296019843,5.56724615603257
Kentucky,2000,21,01779786,0400000US21,21,KY,00,102279490672,2375337755,lpp_2000,0.516522940325952,41.7155684926461,0.556110919,40.40087128,29.16789627,14.81053162,29.8753975667278,13.10628364074
Kentucky,2005,21,01779786,0400000US21,21,KY,00,102279490672,2375337755,lpp_2005,0.512968950748531,41.8751042309443,0.608317435,41.83859634,30.87945366,15.75593853,30.3375937664131,14.018382070311
Kentucky,2010,21,01779786,0400000US21,21,KY,00,102279490672,2375337755,lpp_2010,0.501925392774665,39.8823766713585,0.572081685,44.70098114,31.08784676,15.25987053,27.8713428214001,11.4156994498745
Louisiana,1990,22,01629543,0400000US22,22,LA,00,111897594374,23753621895,lpp_1990,0.63169077849665,54.2146778425069,0.593702674,39.48258972,26.04208183,12.42215919,42.0182487944684,21.3078899410779
Louisiana,1995,22,01629543,0400000US22,22,LA,00,111897594374,23753621895,lpp_1995,0.608025613033804,52.0544914146475,0.578403771,40.80447006,28.81840134,13.05541039,40.858503346312,22.884044098287
Louisiana,2000,22,01629543,0400000US22,22,LA,00,111897594374,23753621895,lpp_2000,0.606302117007354,47.4220264510403,0.576282084,41.75099564,30.50449944,15.7379055,34.5223573873263,15.6736927291018
Louisiana,2005,22,01629543,0400000US22,22,LA,00,111897594374,23753621895,lpp_2005,0.589247822571403,45.9630310579236,0.662235796,43.54188919,32.88626099,17.6509304,33.6383445049332,15.6389750143929
Louisiana,2010,22,01629543,0400000US22,22,LA,00,111897594374,23753621895,lpp_2010,0.580618820433589,44.1580787852074,0.62091881,43.62034607,30.97090149,16.27140617,31.1115474882313,12.8824684743121
Maine,1990,23,01779787,0400000US23,23,ME,00,79887426037,11746549764,lpp_1990,0.57785523788473,52.6893388376286,0.531884551,34.40461731,22.23587418,10.04212856,42.9931910672925,24.787041209816
Maine,1995,23,01779787,0400000US23,23,ME,00,79887426037,11746549764,lpp_1995,0.619177321073854,56.1499260130362,0.532454371,37.41346359,26.15699577,11.14391613,46.4260267619879,27.4533209059792
Maine,2000,23,01779787,0400000US23,23,ME,00,79887426037,11746549764,lpp_2000,0.481673201451041,36.9182206827101,0.552585423,43.06951141,31.99742508,17.1608448,24.3573929687103,8.98160966504
Maine,2005,23,01779787,0400000US23,23,ME,00,79887426037,11746549764,lpp_2005,0.467572587963745,35.8682653363071,0.584545076,41.63558197,30.77701187,15.65581036,23.7119843727482,8.9874696035591
Maine,2010,23,01779787,0400000US23,23,ME,00,79887426037,11746549764,lpp_2010,0.47788716168751,36.5351635439656,0.551415563,41.09710693,28.01065254,13.04253101,24.0109606565033,8.57833680861526
Maryland,1990,24,01714934,0400000US24,24,MD,00,25151100280,6979966958,lpp_1990,0.385338709696273,29.4506172682799,0.542600751,37.08197021,25.06752396,11.93626785,19.6291143770571,7.79453461937228
Maryland,1995,24,01714934,0400000US24,24,MD,00,25151100280,6979966958,lpp_1995,0.400599463822899,31.0855407128508,0.543932199,38.78462982,26.23889732,12.23112583,21.1934225183914,8.26979791799049
Maryland,2000,24,01714934,0400000US24,24,MD,00,25151100280,6979966958,lpp_2000,0.597853531512225,46.6608928169199,0.575559914,43.77104568,32.88470459,17.93191719,33.3689824280713,14.5740503133714
Maryland,2005,24,01714934,0400000US24,24,MD,00,25151100280,6979966958,lpp_2005,0.61279368549284,49.2072794465963,0.539757967,40.8185997,31.78704643,17.34091187,36.3864769664526,17.5837042562935
Maryland,2010,24,01714934,0400000US24,24,MD,00,25151100280,6979966958,lpp_2010,0.609988917694002,47.5349740670501,0.574038565,39.07151413,29.58991241,14.36526966,33.7279449619324,14.1695665532112
Massachusetts,1990,25,00606926,0400000US25,25,MA,00,20205125364,7129925486,lpp_1990,0.406621895774591,28.671135530528,0.555001199,39.16389847,27.45180511,13.62539673,17.7918716689407,5.71714349807831
Massachusetts,1995,25,00606926,0400000US25,25,MA,00,20205125364,7129925486,lpp_1995,0.368076588755028,26.7232179913199,0.577090085,44.41975784,32.03936386,16.71221733,16.4986868058066,5.24463960802076
Massachusetts,2000,25,00606926,0400000US25,25,MA,00,20205125364,7129925486,lpp_2000,0.612963383209389,49.3939923842708,0.637267768,58.92802048,48.20287704,31.89725113,36.0146823185789,16.2069674039797
Massachusetts,2005,25,00606926,0400000US25,25,MA,00,20205125364,7129925486,lpp_2005,0.606158229530802,49.4031996592642,0.581118882,49.82707596,40.66526413,23.79183578,36.593966248342,17.1724278222995
Massachusetts,2010,25,00606926,0400000US25,25,MA,00,20205125364,7129925486,lpp_2010,0.619017204753606,49.6921304273874,0.629451573,50.94039154,41.30371475,24.36419106,36.0773508171414,15.8175269858157
Michigan,1990,26,01779789,0400000US26,26,MI,00,146600952990,103885855702,lpp_1990,0.546718084457536,46.203970161957,0.549059927,38.12247849,26.2243309,12.17574501,33.6893471831405,14.7213775980625
Michigan,1995,26,01779789,0400000US26,26,MI,00,146600952990,103885855702,lpp_1995,0.525608237108113,44.6647841232473,0.553320169,41.11712646,28.18183517,13.16731453,32.804735236987,14.7117148286453
Michigan,2000,26,01779789,0400000US26,26,MI,00,146600952990,103885855702,lpp_2000,0.503311311523262,38.0908920976092,0.562266767,42.23006439,30.17022896,15.52907085,25.9987792095368,10.7774916336579
Michigan,2005,26,01779789,0400000US26,26,MI,00,146600952990,103885855702,lpp_2005,0.508459720167626,39.2614787153966,0.582706153,42.58594894,30.35021973,16.12133598,27.4430475166426,12.2532801659683
Michigan,2010,26,01779789,0400000US26,26,MI,00,146600952990,103885855702,lpp_2010,0.504504521424249,38.1123626871064,0.597330332,48.49571991,33.30805206,16.87948418,25.8395905865099,10.4553341846525
Minnesota,1990,27,00662849,0400000US27,27,MN,00,206228939448,18945217189,lpp_1990,0.512653745117875,42.1197430586979,0.5509817,35.99848175,25.24958992,11.92606258,30.4639395616463,13.8769634660678
Minnesota,1995,27,00662849,0400000US27,27,MN,00,206228939448,18945217189,lpp_1995,0.526599763832969,43.2718130991979,0.549570084,39.99035263,28.61737061,14.36619473,31.542107530426,15.0695965279147
Minnesota,2000,27,00662849,0400000US27,27,MN,00,206228939448,18945217189,lpp_2000,0.435130849118025,31.514857658751,0.568556488,41.99559784,31.47613907,17.32561302,20.9778622797299,7.55776969375657
Minnesota,2005,27,00662849,0400000US27,27,MN,00,206228939448,18945217189,lpp_2005,0.440346496157552,32.8089343300144,0.561903179,42.91766357,32.44687271,18.23670006,22.3295865219756,8.57172110558407
Minnesota,2010,27,00662849,0400000US27,27,MN,00,206228939448,18945217189,lpp_2010,0.421770720687274,29.8714836043779,0.589851499,43.71017838,32.4573288,17.12676239,19.4711322948729,6.67573604162825
Mississippi,1990,28,01779790,0400000US28,28,MS,00,121533519481,3926919758,lpp_1990,0.399106744927716,31.6085277412123,0.578444898,38.84824753,25.55339813,11.82872391,21.2403799472325,8.39214558869453
